solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,AIC,AICc,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
3_305_4,events,0.92489111373277,1129996.27031237,0.00684455207257818,1129996.27031237,0.359684949676971,1129996.27031237,0.00684455207257818,1129996.27031237,0.359684949676971,TRUE,,,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,,,,,,,,,
3_305_4,facebook_I,100500.455590356,2413830.09036821,0.014620920601193,26237.2835909588,0.00835149307657953,2413830.09036821,0.014620920601193,26237.2835909588,0.00835149307657953,TRUE,0.181827675117088,0.129554186013166,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,5988890.41190929,136111.145725211,0.181827675117088,0.129554186013166,0.305989057669471,0.403051304055949,2.48107372420556,41648.5212187695,0.000333475378283765
3_305_4,holiday,0.980826786136433,4443335.55751384,0.0269139309556612,277708.472344615,0.0883963606999598,4443335.55751384,0.0269139309556612,277708.472344615,0.0883963606999598,TRUE,,,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,,,,,,,,,
3_305_4,newsletter,452961.438527287,3908420.5991564,0.023673873104969,42482.8325995261,0.0135225539297326,3908420.5991564,0.023673873104969,42482.8325995261,0.0135225539297326,TRUE,,,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,,,,,,,,,
3_305_4,ooh_S,217212.035593737,5910814.61232243,0.0358026654319959,64247.9849165482,0.0204505393767072,5910814.61232243,0.0358026654319959,64247.9849165482,0.0204505393767072,TRUE,0.310911157955088,0.317243031657355,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,10240536,262577.846153846,0.310911157955088,0.317243031657355,0.34591600943686,0.577197776788484,1.7325084056352,90829.8807080642,0.126551549488795
3_305_4,print_S,348594.980551453,2075757.17107104,0.0125731636649525,22562.5779464244,0.00718181106119848,2075757.17107104,0.0125731636649525,22562.5779464244,0.00718181106119848,TRUE,0.0848043521333921,0.111409262703357,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,2793216,77589.3333333333,0.0848043521333921,0.111409262703357,0.478440361693448,0.743142374621599,1.34563716745286,37121.8687035535,1.23758186386112
3_305_4,search_clicks_P,40523.3769270654,1976808.97308996,0.0119738200110287,21487.0540553257,0.00683946501386216,1976808.97308996,0.0119738200110287,21487.0540553257,0.00683946501386216,TRUE,0.111321014032676,0.106098552020754,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,3666600,47618.1818181818,0.111321014032676,0.106098552020754,0.558474211943997,0.539139522470398,1.85480744468127,26593.526565115,0.306451218501024
3_305_4,season,0.367481968950352,-2964345.92034159,-0.0179554752046252,-32221.1513080607,-0.0102561959638771,-2964345.92034159,-0.0179554752046252,-32221.1513080607,-0.0102561959638771,FALSE,,,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,,,,,,,,,
3_305_4,trend,0.232448819972923,64594388.3287187,0.391257622815016,702112.916616507,0.223486975767583,64594388.3287187,0.391257622815016,702112.916616507,0.223486975767583,TRUE,,,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,,,,,,,,,
3_305_4,tv_S,381589.478931472,6254607.73539708,0.0378850704760658,67984.8666890987,0.0216400124463281,6254607.73539708,0.0378850704760658,67984.8666890987,0.0216400124463281,TRUE,0.311135800761756,0.335694967605368,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,10247935.1,256198.3775,0.311135800761756,0.335694967605368,0.525085766060219,0.610328585648154,1.638461680339,134526.121312973,0.646808490157127
3_308_3,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,,,,,,,,,
3_308_3,competitor_sales_B,0.148753180279486,72809455.1550663,0.441004978099845,791407.121250721,0.254909391560661,72809455.1550663,0.441004978099845,791407.121250721,0.254909391560661,TRUE,,,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,,,,,,,,,
