solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
3_222_2,holiday,0.991375754960524,4491124.43209773,0.0272008716591664,280695.277006108,0.0892196630687763,4491124.43209773,0.0272008716591664,280695.277006108,0.0892196630687763,TRUE,,,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,,,,,,,,,
3_222_2,newsletter,452225.512518511,4576128.68634535,0.0277157070517793,49740.5291994059,0.0158101458042597,4576128.68634535,0.0277157070517793,49740.5291994059,0.0158101458042597,TRUE,,,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,,,,,,,,,
3_222_2,ooh_S,276690.448398945,5756242.34867643,0.0348631643884943,62567.8516160481,0.0198873408190603,5756242.34867643,0.0348631643884943,62567.8516160481,0.0198873408190603,TRUE,0.310911157955088,0.300860494878154,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,10240536,262577.846153846,0.310911157955088,0.300860494878154,0.338308236297322,0.562103619251612,1.77903142009903,88832.2480230572,0.15284700684424
3_222_2,print_S,243752.22635391,2740948.75908871,0.0166007859607442,29792.9212944425,0.00946975106982967,2740948.75908871,0.0166007859607442,29792.9212944425,0.00946975106982967,TRUE,0.0848043521333921,0.143260681212407,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,2793216,77589.3333333333,0.0848043521333921,0.143260681212407,0.936283403287381,0.981287791237307,1.01906903247935,72645.6050721323,1.9709612691222
3_222_2,search_clicks_P,71417.3306551887,2192624.45083208,0.0132798138162421,23832.8744655661,0.00757533597450584,2192624.45083208,0.0132798138162421,23832.8744655661,0.00757533597450584,TRUE,0.111321014032676,0.11460151213247,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,3666600,47618.1818181818,0.111321014032676,0.11460151213247,0.594786790833436,0.597999359306192,1.67224259430682,28322.6655489595,0.303331875649747
3_222_2,season,0.370577026157671,-2989312.64246933,-0.0181050226432832,-32492.5287224927,-0.0103278277276117,-2989312.64246933,-0.0181050226432832,-32492.5287224927,-0.0103278277276117,FALSE,,,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,,,,,,,,,
3_222_2,trend,0.229591787339206,63800457.5381403,0.386412820114285,693483.234110221,0.220425299460286,63800457.5381403,0.386412820114285,693483.234110221,0.220425299460286,TRUE,,,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,,,,,,,,,
3_222_2,tv_S,352188.291117295,6060605.68101472,0.0367065664286429,65876.1487066818,0.0209388909374163,6060605.68101472,0.0367065664286429,65876.1487066818,0.0209388909374163,TRUE,0.311135800761756,0.31676859902723,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,10247935.1,256198.3775,0.311135800761756,0.31676859902723,0.523880659096299,0.591397742264656,1.690909397406,134217.374864103,0.68445986227016
3_231_5,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,,,,,,,,,
3_231_5,competitor_sales_B,0.152407238522143,74597988.2758565,0.451816652906601,810847.698650614,0.257355693706632,74597988.2758565,0.451816652906601,810847.698650614,0.257355693706632,TRUE,,,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,,,,,,,,,
3_231_5,events,0.932000344508186,1138682.05412165,0.00689664059727153,1138682.05412165,0.361407340043572,1138682.05412165,0.00689664059727153,1138682.05412165,0.361407340043572,TRUE,,,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,,,,,,,,,
3_231_5,facebook_I,80312.5917574882,2330515.02297146,0.0141151996396169,25331.6850322985,0.00804004671295758,2330515.02297146,0.0141151996396169,25331.6850322985,0.00804004671295758,TRUE,0.181827675117088,0.112018564706132,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,5988890.41190929,136111.145725211,0.181827675117088,0.112018564706132,0.304816045460489,0.389139700792835,2.56977121060276,41488.8611830553,0.000371564274246339
3_231_5,holiday,0.982252888756751,4449796.07895462,0.0269510212939735,278112.254934664,0.0882703033086691,4449796.07895462,0.0269510212939735,278112.254934664,0.0882703033086691,TRUE,,,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,,,,,,,,,
3_231_5,newsletter,452988.361153414,3597810.87339868,0.0217908137227351,39106.6399282466,0.0124120922634646,3597810.87339868,0.0217908137227351,39106.6399282466,0.0124120922634646,TRUE,,,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,,,,,,,,,
3_231_5,ooh_S,214134.786024992,6281819.50766327,0.0380470134612785,68280.6468224269,0.0216716570312361,6281819.50766327,0.0380470134612785,68280.6468224269,0.0216716570312361,TRUE,0.310911157955088,0.301942016273385,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,10240536,262577.846153846,0.310911157955088,0.301942016273385,0.37035613682758,0.613426827234753,1.63018628400696,97247.3167180451,0.129454771726159
3_231_5,print_S,223075.899612809,3197405.31999774,0.019365682682018,34754.4056521493,0.0110307326404888,3197405.31999774,0.019365682682018,34754.4056521493,0.0110307326404888,TRUE,0.0848043521333921,0.153686524737876,0,0.0562164647732695,0.099653558573421,0.938731386977664,266561.544311441,5,231,0,3,1385,1,2793216,77589.3333333333,0.0848043521333921,0.153686524737876,1.25647107575097,1.14470392551014,0.873588338184781,97488.7531201341,1.96636377461255
